latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
58.90955,-113.27507,342.61,1.36,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,293.5,75.79,N
58.91163,-113.25178,317.03,1.36,1.16,2023-06-01,0512,Terra,MODIS,78,6.1NRT,287.43,25.59,N
58.93244,-113.01617,322.24,1.39,1.17,2023-06-01,0512,Terra,MODIS,93,6.1NRT,288.76,33.43,N
58.88086,-113.36107,322.5,1.35,1.15,2023-06-01,0512,Terra,MODIS,56,6.1NRT,286.13,31.77,N
58.88293,-113.33794,337.73,1.35,1.15,2023-06-01,0512,Terra,MODIS,100,6.1NRT,287.47,63.06,N
58.88097,-113.24155,300.8,1.36,1.16,2023-06-01,0512,Terra,MODIS,34,6.1NRT,285.29,10.21,N
58.58109,-113.75163,308.59,1.3,1.13,2023-06-01,0512,Terra,MODIS,75,6.1NRT,285.67,15.98,N
58.56083,-113.8575,306.11,1.29,1.13,2023-06-01,0512,Terra,MODIS,11,6.1NRT,285.7,11.62,N
58.56495,-113.8139,306.71,1.29,1.13,2023-06-01,0512,Terra,MODIS,7,6.1NRT,284.34,11.91,N
58.57111,-113.7482,314.27,1.3,1.13,2023-06-01,0512,Terra,MODIS,63,6.1NRT,287.23,20.98,N
58.53862,-113.98382,308.31,1.28,1.12,2023-06-01,0512,Terra,MODIS,24,6.1NRT,288.42,12.62,N
58.55909,-113.76667,321.2,1.3,1.13,2023-06-01,0512,Terra,MODIS,84,6.1NRT,286.29,28.99,N
58.56113,-113.74474,317.94,1.3,1.13,2023-06-01,0512,Terra,MODIS,73,6.1NRT,287.39,25.87,N
58.5267,-114.00179,312.95,1.27,1.12,2023-06-01,0512,Terra,MODIS,49,6.1NRT,287.58,17.84,N
58.53078,-113.95877,313.22,1.28,1.12,2023-06-01,0512,Terra,MODIS,33,6.1NRT,288.82,17.8,N
58.53485,-113.91562,323.23,1.28,1.12,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.81,32.32,N
58.52089,-113.95525,315.46,1.28,1.12,2023-06-01,0512,Terra,MODIS,32,6.1NRT,285.47,20.12,N
58.52292,-113.93369,313.38,1.28,1.12,2023-06-01,0512,Terra,MODIS,27,6.1NRT,285.33,17.88,N
